ID,Prompt,Left Option,Right Option,Left Meta,Right Meta,Psychology Type,Timer (s),Age Tier,Version,Paid,Wildcard
401,New work project lands on desk:,Dive in immediately,Map it out first,D,C,DISC-DC,8,19+,v1,No,No
402,Networking mixer tonight at venue:,Work the room,One real conversation,E,I,MBTI-EI,8,19+,v1,No,No
403,Career crossroads decision time:,Corporate stable path,Startup risky bet,S,N,MBTI-SN,8,19+,v1,No,No
404,Performance review hits hard emotionally:,Analyze feedback first,Feel it deeply,T,F,MBTI-TF,8,19+,v1,No,No
405,Trip abroad booked finally:,Full detailed itinerary,Figure it out there,J,P,MBTI-JP,8,19+,v1,No,No
406,Roommate tension brewing up:,Have awkward convo,Wait it out,D,S,DISC-DS,8,19+,v1,No,No
407,Side hustle idea sparks suddenly:,Pursue wild idea,Stick with what works,O+,O-,Big5-O,8,19+,v1,No,No
408,Friday night arrives after work:,FOMO outing with friends,Couch time recharge,E+,E-,Big5-E,8,19+,v1,No,No
409,Your email inbox management:,Inbox zero daily,10k unread backlog,C+,C-,Big5-C,8,19+,v1,No,No
410,Apartment rent negotiation time:,Haggle hard for deal,Accept listed price,D,S,DISC-DS,8,19+,v1,No,No
411,Group dinner bill comes around:,Split equal easy,Calculate exact shares,A+,T,Big5-AT,8,19+,v1,No,No
412,First day at new job:,Intro to everyone,Observe first quietly,E,I,MBTI-EI,8,19+,v1,No,No
413,Investment decision weighs heavy:,Data research deep,Follow intuition,S,N,MBTI-SN,8,19+,v1,No,No
414,Relationship disagreement escalates:,Debate with logic,Focus on feelings first,T,F,MBTI-TF,8,19+,v1,No,No
415,Morning routine every day:,Same consistent routine,Varies daily based on mood,J,P,MBTI-JP,8,19+,v1,No,No
416,Co-worker asks for feedback:,Give honest critique,Offer encouragement,D,S,DISC-DS,8,19+,v1,No,No
417,Learning new skill online:,Something completely new,Get better at current,O+,O-,Big5-O,8,19+,v1,No,No
418,Work from home day setup:,Dedicated desk space,Wherever works best,C+,C-,Big5-C,8,19+,v1,No,No
419,Friend needs help moving house:,Show up to help,Check my schedule first,A+,A-,Big5-A,8,19+,v1,No,No
420,Big deadline looming ahead:,Thrive under stress,Feel anxious buildup,N-,N+,Big5-N,8,19+,v1,No,No
421,Team meeting dynamics at work:,Drive the agenda,Contribute value ideas,D,C,DISC-DC,8,19+,v1,No,No
422,Grocery shopping style weekly:,List organized neatly,Wander and grab,J,P,MBTI-JP,8,19+,v1,No,No
423,Salary negotiation at job:,Confident ask more,Nervous but try,D,S,DISC-DS,8,19+,v1,No,No
424,Weekend plans fall through suddenly:,Find new activity,Enjoy free time,E,I,MBTI-EI,8,19+,v1,No,No
425,Project brainstorm session starts:,Throw wild ideas,Analyze feasibility,I,C,DISC-IC,8,19+,v1,No,Yes
426,Life philosophy at this stage:,Collect experiences,Build lasting legacy,P,J,MBTI-JP,9,19+,v1,No,No
427,Workplace tension with leadership:,Formal meeting request,Casual coffee chat,D,S,DISC-DS,9,19+,v1,No,No
428,Mid-career crossroads ahead:,Climb corporate ladder,Follow personal calling,S,N,MBTI-SN,9,19+,v1,No,No
429,Unexpected bonus arrives in paycheck:,Add to retirement,Splurge on something,J,P,MBTI-JP,9,19+,v1,No,No
430,Partner disagreement escalates strongly:,Logic first approach,Emotions first talk,T,F,MBTI-TF,9,19+,v1,No,No
431,Major life decision ahead now:,Gut instincts guide,Research deep first,N,S,MBTI-SN,9,19+,v1,No,No
