ID,Prompt,Left Option,Right Option,Left Meta,Right Meta,Psychology Type,Timer (s),Age Tier,Version,Paid,Wildcard
1,At the playground you prefer to:,Lead the tag game,Plan a fort together,E,I,MBTI-EI,6,7-12,v1,No,No
2,When playing a new video game:,Mash buttons to start,Watch tutorial first,E,I,MBTI-EI,6,7-12,v1,No,No
3,Your dream superpower would be:,Flying high in sky,Reading pet's thoughts,S,N,MBTI-SN,6,7-12,v1,No,No
4,When a friend is sad:,Try to fix it,Quiet hug for comfort,T,F,MBTI-TF,6,7-12,v1,No,No
5,Birthday party is coming up:,Know plans ahead,Love surprises,J,P,MBTI-JP,6,7-12,v1,No,No
6,During group project time:,Be the captain,Help out where needed,D,S,DISC-DS,6,7-12,v1,No,No
7,When recess bell rings:,Play with whole class,Just with bestie,I,S,DISC-IS,6,7-12,v1,No,No
8,With a new LEGO set:,Follow the pics,Make my creation,C,D,DISC-CD,6,7-12,v1,No,No
9,Ice cream truck arrives:,Try blue weird flavor,Stick with my fave,O+,O-,Big5-O,6,7-12,v1,No,No
10,School talent show time:,Perform on stage,Help backstage,E+,E-,Big5-E,6,7-12,v1,No,No
11,Homework time comes:,Do work first,Play first,C+,C-,Big5-C,6,7-12,v1,No,No
12,Someone cuts in line:,Let it go,Speak up,A+,A-,Big5-A,6,7-12,v1,No,No
13,Big test tomorrow:,Sleep fine,Worry lots,N-,N+,Big5-N,6,7-12,v1,No,No
14,On class field trip:,Chat with bus friends,Explore the facts,E,I,MBTI-EI,6,7-12,v1,No,No
15,Story writing time:,Magic world adventure,Real life events,N,S,MBTI-SN,6,7-12,v1,No,No
16,Pet goldfish died:,Explain the facts,Give hugs,T,F,MBTI-TF,6,7-12,v1,No,No
17,Room cleaning time:,Organize into piles,Stuff away fast,J,P,MBTI-JP,6,7-12,v1,No,No
18,Classroom debate starts:,Lead the argument,Listen first,D,C,DISC-DC,6,7-12,v1,No,No
19,New kid at school:,Invite to lunch,Wave hello,I,S,DISC-IS,6,7-12,v1,No,No
20,Art class project:,Make wild art,Follow the example,O+,O-,Big5-O,6,7-12,v1,No,No
21,Science fair project:,Do the presenting,Do the discovering,E+,E-,Big5-E,6,7-12,v1,No,No
22,Summer reading list:,Finish it early,Read slowly,C+,C-,Big5-C,6,7-12,v1,No,No
23,Someone is being bullied:,Tell the teacher,Step in to help,A+,D,Big5-AD,6,7-12,v1,No,No
24,Movie night pick:,Funny comedy one,Exciting adventure,I,D,DISC-ID,6,7-12,v1,No,No
25,Sports day at school:,Be the captain,Be reliable player,D,S,DISC-DS,6,7-12,v1,No,No
26,Sleepover plans:,Big group fun,Just best friend,E,I,MBTI-EI,6,7-12,v1,No,No
27,Vacation choice:,Theme park rides,Museum exhibits,S,N,MBTI-SN,6,7-12,v1,No,No
28,Teacher asks a question you know:,Hand up fast,Wait a bit,D,S,DISC-DS,6,7-12,v1,No,No
29,Building a treehouse:,Design the plans,Just build it,N,S,MBTI-SN,6,7-12,v1,No,No
30,You made a mistake:,Move on quick,Feel bad inside,N-,N+,Big5-N,6,7-12,v1,No,Yes
31,Favorite animal at zoo:,Loud roaring lion,Quiet fluffy bunny,E,I,MBTI-EI,6,7-12,v1,No,No
32,Story time in class:,Adventure tale full of action,Everyday life story,S,N,MBTI-SN,6,7-12,v1,No,No
33,You lost your toy:,Search for it alone,Ask friends to help,T,F,MBTI-TF,6,7-12,v1,No,No
34,Playing game with rules:,Follow them strictly,Change them up,J,P,MBTI-JP,6,7-12,v1,No,No
35,Snack time at school:,Share with everyone,Keep mine,D,S,DISC-DS,6,7-12,v1,No,No
36,Playdate after school:,Many kids over,One close friend,I,S,DISC-IS,6,7-12,v1,No,No
37,Drawing a picture:,Real things around,Imaginary creatures,C,D,DISC-CD,6,7-12,v1,No,No
38,Trying a new toy:,Weird unusual one,Familiar type,O+,O-,Big5-O,6,7-12,v1,No,No
39,Park visit on weekend:,Swing really high,Watch the birds,E+,E-,Big5-E,6,7-12,v1,No,No
40,Doing your chores:,Finish them now,Do later,C+,C-,Big5-C,6,7-12,v1,No,No
41,Sharing your candy:,Give out lots,Keep some,A+,A-,Big5-A,6,7-12,v1,No,No
42,Stormy day outside:,Feel excited,Feel scared,N-,N+,Big5-N,6,7-12,v1,No,No
43,Class game begins:,Be team leader,Be team player,D,S,DISC-DS,6,7-12,v1,No,No
44,Bedtime story choice:,Funny silly one,Sad emotional one,E,I,MBTI-EI,6,7-12,v1,No,No
45,Dream job when grown:,Astronaut in space,Teacher at school,S,N,MBTI-SN,6,7-12,v1,No,No
46,Friend argues with you:,Say sorry first,Explain your side,T,F,MBTI-TF,6,7-12,v1,No,No
47,Schedule for the day:,Planned fun activities,Anything goes,J,P,MBTI-JP,6,7-12,v1,No,No
48,Hide and seek game:,Hide really well,Seek out fast,I,S,DISC-IS,6,7-12,v1,No,No
49,Building sandcastle at beach:,Tall strong tower,Pretty design,O+,O-,Big5-O,6,7-12,v1,No,No
50,Show and tell day:,Talk a lot,Show it quick,E+,E-,Big5-E,6,7-12,v1,No,No
